時間,溫度,濕度,發芽率
4,5,100,0
4,10,100,0
4,15,100,0
4,20,100,28
4,25,100,65
4,25,100,13
4,25,100,4
4,30,100,23
4,35,100,23
6,5,100,0
6,10,100,0
6,15,100,4
6,20,100,58
6,25,100,56
6,25,100,79
6,25,100,85
6,30,100,46
6,35,100,66
8,5,100,0
8,10,100,0
8,15,100,4
8,20,100,91
8,25,100,66
8,25,100,85
8,25,100,81
8,30,100,81
8,35,100,80
10,5,100,0
10,10,100,0
10,15,100,26
10,20,100,82
10,25,100,74
10,25,100,97
10,25,100,100
10,30,100,81
10,35,100,80
12,25,100,98
12,25,100,99
14,5,100,0
14,10,100,2
14,15,100,65
14,20,100,84
14,25,100,69
14,30,100,89
14,35,100,87
24,5,100,0
24,10,100,70
24,10,100,19
24,15,100,50
24,15,100,59
24,20,100,84
24,20,100,80
24,25,100,95
24,25,100,81
24,30,100,60
24,30,100,89
24,35,100,83
10,24,85,0
10,24,90,8.75
10,24,95,86.5
10,24,100,91
12,24,85,0
12,24,90,10.5
12,24,95,86
12,24,100,94
24,24,55,0
24,24,60,60
24,24,60,80
24,24,70,85
24,24,75,55.6
24,24,80,90
24,24,85,90
24,24,90,90
24,24,100,90
24,24,100,70
10,27,85,0
10,27,90,8.75
10,27,95,86.5
10,27,100,91
12,27,85,0
12,27,90,10.5
12,27,95,86
12,27,100,94
24,27,55,0
24,27,60,60
24,27,60,80
24,27,70,85
24,27,75,55.6
24,27,80,90
24,27,85,90
24,27,90,90
24,27,100,90
24,27,100,70
10,28,85,0
10,28,90,8.75
10,28,95,86.5
10,28,100,91
12,28,85,0
12,28,90,10.5
12,28,95,86
12,28,100,94
